QuoteNumber,QuoteConversion_Flag
3,2.11832541437e-05
5,0.0201949096939
7,0.0345016279575
9,0.00377035637765
10,0.265323461549
11,0.0188808858693
15,2.43186843762e-07
16,0.00692550370428
17,5.63021340824e-07
21,3.04415376496e-05
23,0.0571089652511
24,0.29857930207
27,2.01889193453e-07
31,0.607617838112
33,0.18168958235
34,0.0463166110445
36,6.68739307443e-05
39,9.38814471508e-07
42,0.334591291249
43,0.350746351742
46,0.00796887531553
48,0.0105049381845
49,0.214552569885
52,0.0412962445752
54,0.648168583087
55,0.590393579789
56,0.999961257774
58,0.0167619961531
60,7.40635059795e-07
61,0.0118352777925
63,0.408904105996
67,0.0404027009971
68,1.6115396443e-07
69,0.727631720233
75,1.21416635119e-05
81,0.0549247019611
82,0.178574487398
98,0.348252744712
100,0.0141871443826
107,0.273668028333
108,0.993246170663
110,0.0212917758938
113,0.105113728717
115,2.42770367406e-05
116,0.0492734399908
119,0.0307114923115
120,0.15694291408
122,1.13107973931e-06
125,0.999848053845
130,1.31524238872e-06
132,0.0906605682592
135,2.28152420624e-05
137,0.150588854674
138,0.0416334045488
144,5.81973111603e-05
145,0.158701362762
146,0.0118444897239
150,0.090694649145
155,0.000947948765303
158,0.0776710339036
159,1.61628181806e-06
160,1.7985163631e-05
162,0.650399919129
163,1.49492832611e-06
164,6.09344705931e-06
165,5.71927505877e-07
168,0.105292810671
172,0.0217862707824
173,0.996864921539
174,0.0153062911259
175,0.00373747520605
176,0.671381421701
178,2.9857292915e-07
181,0.00105320708853
183,9.40520126192e-07
190,0.940285028446
198,3.20706228401e-06
200,0.0055192361186
201,3.12236974629e-05
204,0.162034370564
205,0.646795609313
207,0.999993530962
210,0.0730010853545
211,0.997811946645
213,0.00160575046999
215,2.27380837854e-05
218,0.000218580543939
222,3.15360064626e-08
223,0.167327969822
227,0.999882013136
228,6.19286727078e-05
231,0.579783887694
238,0.0472367587546
241,0.00803009372054
245,1.92201364804e-05
253,3.33406415702e-08
257,0.655744559929
263,0.0823051982785
264,1.03756243348e-05
265,2.81941392617e-08
274,0.00336293063244
275,0.313428557148
276,0.0250151322008
279,0.139959387867
280,3.46706614512e-07
282,0.168814821404
283,0.0626304124899
285,0.496971802331
289,0.0179812727559
290,0.00329843102467
292,0.0603859106495
294,0.99561844817
301,0.994542051334
304,0.018605165518
307,4.81055772576e-07
309,0.978046358905
310,6.31402585216e-06
311,1.90635560582e-05
312,3.90611040144e-06
314,0.0175435375827
316,2.80795214047e-07
318,0.999596126786
